time_s,q1_rad,dq1_rad_s,w_fl_rad_s,q2_rad,dq2_rad_s,w_fr_rad_s,q3_rad,dq3_rad_s,w_bl_rad_s,q4_rad,dq4_rad_s,w_br_rad_s
19.333333,-1.553343,0.052360,0.000000,-1.562371,0.017884,0.000000,-1.398090,0.022038,-1.237951,-1.395685,0.260706,-1.237951
19.666667,-1.535890,0.052360,0.000000,-1.558111,0.012781,0.000000,-1.369645,0.085334,-1.301736,-1.328180,0.202514,-1.301736
20.000000,-1.500983,0.104720,0.000000,-1.569369,-0.033775,0.000000,-1.330263,0.118145,-1.301736,-1.273548,0.163898,-1.301736
20.333333,-1.483530,0.052360,0.000000,-1.559650,0.029157,0.000000,-1.303157,0.081319,-1.301736,-1.210164,0.190152,-1.301736
20.666667,-1.466077,0.052360,0.000000,-1.545612,0.042113,0.000000,-1.279772,0.070156,-1.301736,-1.147378,0.188359,-1.301736
21.000000,-1.431170,0.104720,0.000000,-1.548409,-0.008389,0.000000,-1.239346,0.121278,-1.301736,-1.102251,0.135379,-1.301736
21.333333,-1.413717,0.052360,0.000000,-1.527494,0.062745,0.000000,-1.217334,0.066034,-1.301736,-1.044968,0.171849,-1.301736
21.666667,-1.378810,0.104720,0.000000,-1.520917,0.019730,0.000000,-1.190492,0.080528,-1.301736,-0.995631,0.148011,-1.301736
22.000000,-1.343904,0.104720,0.000000,-1.513721,0.021590,0.000000,-1.152417,0.114225,-1.301736,-0.958146,0.112454,-1.301736
22.333333,-1.308997,0.104720,0.000000,-1.495770,0.053851,0.000000,-1.145477,0.020820,-1.301736,-0.900281,0.173597,-1.301736
22.666667,-1.274090,0.104720,0.000000,-1.477949,0.053464,0.000000,-1.127340,0.054413,-1.301736,-0.853484,0.140391,-1.301736
23.000000,-1.221730,0.157080,0.000000,-1.471566,0.019150,0.000000,-1.113394,0.041837,-1.301736,-0.808510,0.134921,-1.301736
23.333333,-1.169371,0.157080,0.000000,-1.463585,0.023942,0.000000,-1.098070,0.045972,-1.301736,-0.766512,0.125995,-1.301736
23.666667,-1.117011,0.157080,0.000000,-1.446850,0.050204,0.000000,-1.102266,-0.012587,-1.301736,-0.713748,0.158291,-1.301736
24.000000,-1.047198,0.209440,0.000000,-1.447854,-0.003011,0.000000,-1.092708,0.028673,-1.301736,-0.674452,0.117887,-1.301736
24.333333,-0.977384,0.209440,0.000000,-1.443414,0.013319,0.000000,-1.092996,-0.000864,-1.301736,-0.630755,0.131093,-1.301736
24.666667,-0.907571,0.209440,0.000000,-1.429619,0.041386,0.000000,-1.115508,-0.067536,-1.301736,-0.574189,0.169698,-1.301736
25.000000,-0.837758,0.209440,0.000000,-1.414373,0.045737,0.000000,-1.138497,-0.068969,-1.301736,-0.518595,0.166780,-1.301736
25.333333,-0.750492,0.261799,0.000000,-1.408420,0.017860,0.000000,-1.166901,-0.085210,-1.301736,-0.465749,0.158538,-1.301736
25.666667,-0.663225,0.261799,0.000000,-1.403755,0.013993,0.000000,-1.191345,-0.073332,-1.301736,-0.415573,0.150528,-1.301736
26.000000,-0.558505,0.314159,0.000000,-1.406357,-0.007807,0.000000,-1.220751,-0.088218,-1.301736,-0.370622,0.134854,-1.301736
26.333333,-0.453786,0.314159,0.000000,-1.408770,-0.007237,0.000000,-1.250315,-0.088692,-1.301736,-0.325703,0.134758,-1.301736
26.666667,-0.349066,0.314159,-0.337653,-1.400276,0.025482,0.000000,-1.295877,-0.136687,-1.301736,-0.275692,0.150034,-1.301736
27.000000,-0.244346,0.314159,-0.343510,-1.387971,0.036913,0.000000,-1.347094,-0.153649,-1.301736,-0.223837,0.155564,-1.301736
27.333333,-0.191986,0.157080,-1.091080,-1.379144,0.026483,0.000000,-1.375011,-0.083752,-1.614245,-0.195452,0.085154,-1.614245
27.666667,-0.191986,0.000000,-1.926164,-1.379357,-0.000639,-1.926164,-1.372615,0.007186,-1.958266,-0.197634,-0.006547,-1.958266
28.000000,-0.191986,0.000000,-1.926164,-1.379572,-0.000647,-1.926164,-1.370216,0.007197,-1.958266,-0.199818,-0.006550,-1.958266
28.333333,-0.191986,0.000000,-1.926164,-1.379790,-0.000654,-1.926164,-1.367814,0.007207,-1.958266,-0.202002,-0.006554,-1.958266
28.666667,-0.191986,0.000000,-1.926164,-1.380011,-0.000661,-1.926164,-1.365408,0.007218,-1.958266,-0.204188,-0.006557,-1.958266
29.000000,-0.191986,0.000000,-1.926164,-1.380234,-0.000669,-1.926164,-1.362998,0.007229,-1.958266,-0.206374,-0.006560,-1.958266
29.333333,-0.191986,0.000000,-1.926164,-1.380459,-0.000676,-1.926164,-1.360585,0.007239,-1.958266,-0.208562,-0.006563,-1.958266
29.666667,-0.191986,0.000000,-1.926164,-1.380687,-0.000683,-1.926164,-1.358169,0.007250,-1.958266,-0.210751,-0.006567,-1.958266
